citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,ES	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,FI	: 	: 	: 	15 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,IE	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,IT	: 	: 	: 	100 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,LT	: 	1 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,LU	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,NO	: 	: 	: 	19 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,RO	10 	3 	4 	12 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,SE	: 	: 	: 	82 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,SI	36 	34 	33 	41 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,F,UK	: 	: 	: 	111 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,AT	198 	225 	182 	180 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,BE	: 	: 	: 	108 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,BG	: 	9 	: 	15 p
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,EL	: 	: 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,ES	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,FI	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,IE	: 	: 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,IT	: 	: 	: 	104 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,LU	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,NO	: 	: 	: 	16 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,RO	10 	5 	7 	13 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,SE	: 	: 	: 	104 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,SI	49 	37 	41 	50 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,M,UK	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,AT	386 	410 	393 	362 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,BE	: 	: 	: 	203 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,BG	: 	30 	: 	22 p
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,EL	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,ES	: 	: 	: 	16 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,FI	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,IE	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,IT	: 	: 	: 	204 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,LT	: 	1 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,LU	: 	: 	: 	17 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,NO	: 	: 	: 	35 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,RO	20 	8 	11 	25 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,SE	: 	: 	: 	186 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,SI	85 	71 	74 	91 
CC5_13_FOR_X_IS,COMPLET,Y10-14,NR,T,UK	: 	: 	: 	113 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,AT	522 	526 	489 	483 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,BE	: 	: 	: 	129 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,BG	: 	28 	: 	26 p
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,EL	: 	: 	: 	9 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,ES	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,FI	: 	: 	: 	18 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,IE	: 	: 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,IT	: 	: 	: 	213 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,LT	: 	1 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,LU	: 	: 	: 	15 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,NO	: 	: 	: 	18 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,RO	67 	62 	33 	35 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,SE	: 	: 	: 	136 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,SI	78 	61 	66 	77 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,F,UK	: 	: 	: 	90 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,AT	391 	441 	352 	443 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,BE	: 	: 	: 	104 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,BG	: 	37 	: 	60 p
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,EL	: 	: 	: 	12 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,ES	: 	: 	: 	29 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,FI	: 	: 	: 	17 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,IE	: 	: 	: 	14 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,IS	: 	: 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,IT	: 	: 	: 	231 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,LU	: 	: 	: 	9 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,NO	: 	: 	: 	14 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,RO	130 	87 	51 	51 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,SE	: 	: 	: 	139 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,SI	78 	73 	69 	84 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,M,UK	: 	: 	: 	59 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,AT	913 	967 	841 	926 
