age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
TOTAL,COMPLET,CC5_15_FOR,NR,T,BG	1858 	1894 p	2160 p	3670 
TOTAL,COMPLET,CC5_15_FOR,NR,T,CH	7209 	6514 	6086 	5778 
TOTAL,COMPLET,CC5_15_FOR,NR,T,CY	15 	76 	44 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,CZ	1427 	459 	345 	456 
TOTAL,COMPLET,CC5_15_FOR,NR,T,DE	44758 be	72300 	50589 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,DK	1004 	886 	848 	925 
TOTAL,COMPLET,CC5_15_FOR,NR,T,EE	97 	87 b	30 	41 
TOTAL,COMPLET,CC5_15_FOR,NR,T,EL	6292 b	5852 	5675 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,ES	1763 	1503 	1295 	1245 
TOTAL,COMPLET,CC5_15_FOR,NR,T,FI	501 	406 	467 	511 
TOTAL,COMPLET,CC5_15_FOR,NR,T,FR	9363 	8406 	7117 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,HR	1129 	1026 	1007.0 	914.0 
TOTAL,COMPLET,CC5_15_FOR,NR,T,HU	3896 	4521 	4579 	3520 
TOTAL,COMPLET,CC5_15_FOR,NR,T,IE	162 	126 	134 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,IS	106 	43 	36 	47 
TOTAL,COMPLET,CC5_15_FOR,NR,T,IT	14270 	12884 	12846 	13831 
TOTAL,COMPLET,CC5_15_FOR,NR,T,LI	21 	15 	11 	28 
TOTAL,COMPLET,CC5_15_FOR,NR,T,LT	94 	39 	48 	38 
TOTAL,COMPLET,CC5_15_FOR,NR,T,LU	791 	654 	617 	499 
TOTAL,COMPLET,CC5_15_FOR,NR,T,LV	29 	30 	26 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,MT	1493 	1327 	747 	379 
TOTAL,COMPLET,CC5_15_FOR,NR,T,NL	4151 	3433 	3174 	3375 
TOTAL,COMPLET,CC5_15_FOR,NR,T,NO	1683 	1452 	1328 	1206 
TOTAL,COMPLET,CC5_15_FOR,NR,T,PL	1492 ep	1613 p	2606 p	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,PT	13 e	39 	14 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,T,RO	1949 	1355 	347 	524 
TOTAL,COMPLET,CC5_15_FOR,NR,T,SE	4160 	3772 	3435 	3243 
TOTAL,COMPLET,CC5_15_FOR,NR,T,SI	3128 	2532 	2661 	2583 
TOTAL,COMPLET,CC5_15_FOR,NR,T,SK	151 p	147 p	99 p	107 p
TOTAL,COMPLET,CC5_15_FOR,NR,T,UK	7715 	4608 	6697 	: 
TOTAL,COMPLET,EFTA_FOR,NR,F,AT	392 	377 	377 	353 
TOTAL,COMPLET,EFTA_FOR,NR,F,BE	222 	250 	249 	272 
TOTAL,COMPLET,EFTA_FOR,NR,F,BG	1 	12 p	13 p	9 p
TOTAL,COMPLET,EFTA_FOR,NR,F,CH	160 	208 	176 	221 
TOTAL,COMPLET,EFTA_FOR,NR,F,CY	10 	0 	0 	0 
TOTAL,COMPLET,EFTA_FOR,NR,F,CZ	54 	20 	14 	12 
TOTAL,COMPLET,EFTA_FOR,NR,F,DE	2250 be	2179 	2048 	2146 
TOTAL,COMPLET,EFTA_FOR,NR,F,DK	1470 	1333 	1445 	1199 
TOTAL,COMPLET,EFTA_FOR,NR,F,EE	38 	34 b	15 	17 
TOTAL,COMPLET,EFTA_FOR,NR,F,EL	67 b	66 	58 	56 
TOTAL,COMPLET,EFTA_FOR,NR,F,ES	1306 	1155 	1251 	1142 
TOTAL,COMPLET,EFTA_FOR,NR,F,FI	86 	65 	72 	72 
TOTAL,COMPLET,EFTA_FOR,NR,F,FR	2975 	2768 	3043 	3449 
TOTAL,COMPLET,EFTA_FOR,NR,F,HR	43 	52 	56.0 	44.0 
TOTAL,COMPLET,EFTA_FOR,NR,F,HU	149 	146 	198 	139 
TOTAL,COMPLET,EFTA_FOR,NR,F,IE	151 	110 	129 	79 
TOTAL,COMPLET,EFTA_FOR,NR,F,IS	66 	48 	53 	40 
TOTAL,COMPLET,EFTA_FOR,NR,F,IT	627 	474 	547 	614 
TOTAL,COMPLET,EFTA_FOR,NR,F,LI	95 	111 	90 	90 
TOTAL,COMPLET,EFTA_FOR,NR,F,LT	49 	73 	63 	49 
TOTAL,COMPLET,EFTA_FOR,NR,F,LU	60 	69 	70 	70 
TOTAL,COMPLET,EFTA_FOR,NR,F,LV	24 	21 	39 	64 
TOTAL,COMPLET,EFTA_FOR,NR,F,MT	47 	41 	30 	38 
TOTAL,COMPLET,EFTA_FOR,NR,F,NL	513 	422 	426 	421 
TOTAL,COMPLET,EFTA_FOR,NR,F,NO	246 	420 	532 	444 
TOTAL,COMPLET,EFTA_FOR,NR,F,PL	590 ep	430 p	401 p	384 
TOTAL,COMPLET,EFTA_FOR,NR,F,PT	123 e	96 	15 	2 
TOTAL,COMPLET,EFTA_FOR,NR,F,RO	26 	28 	12 	11 
TOTAL,COMPLET,EFTA_FOR,NR,F,SE	1527 	1559 	1439 	1385 
TOTAL,COMPLET,EFTA_FOR,NR,F,SI	17 	12 	18 	12 
TOTAL,COMPLET,EFTA_FOR,NR,F,SK	92 p	72 p	83 p	57 p
TOTAL,COMPLET,EFTA_FOR,NR,F,UK	1948 	4389 	1994 	1978 
