CC5_13_FOR_X_IS,Y10-14,NR,M,DE	14427 	17142 	18009 	27830 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,DK	856 	933 	1035 	1134 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,EE	2 	1 	1 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,EL	: 	: 	: 	139 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,ES	: 	: 	138 	124 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,FI	104 	106 	117 	119 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,FR	: 	: 	: 	9395 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,HR	: 	: 	: 	45 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,HU	35 	38 	44 	53 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,IE	16 	: 	: 	45 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,IS	4 	3 	1 	2 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,IT	4360 	4778 	5125 	5513 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,LI	28 	39 	50 	63 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,LT	0 	0 	1 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,LU	402 	: 	: 	429 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,LV	1 	1 	0 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,NL	1493 	1637 	1780 	2023 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,NO	164 	143 	133 	120 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,PL	: 	: 	: 	0 p	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,PT	7 	: 	: 	3 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,RO	134 	145 	: 	126 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,SE	510 	550 	568 	582 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,SI	438 	394 	418 	383 	: 
CC5_13_FOR_X_IS,Y10-14,NR,M,SK	13 	14 	15 	19 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,AT	12660 	12787 	13215 	13345 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,BE	1748 	1732 	1853 	2012 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,BG	147 	115 	99 	79 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,CH	12705 	13114 	13802 	14972 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,CY	: 	: 	: 	56 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,CZ	182 	179 	191 	182 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,DE	28145 	33416 	35284 	54984 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,DK	1646 	1786 	1942 	2096 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,EE	5 	4 	1 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,EL	: 	: 	: 	277 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,ES	: 	: 	236 	218 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,FI	207 	208 	218 	228 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,FR	: 	: 	: 	18222 	: 
